name,ts,r95,eflux100,glat,glon,nbb,delta,variability,pindex,curvature,singlat,category,uwname
4FGL J2247.5+5812,48.1212,0.0786719,2.25623e-12,-0.845208,107.208,3,0.0163171,20.6234,2.31283,0.211829,-0.0147511,unid,J2247.6+5811
4FGL J2247.5-3700,34.2388,0.112156,1.06809e-12,-62.1034,4.45157,1,0.0288899,11.8348,2.07157,0.0877824,-0.883794,fsrq,J2247.4-3658
4FGL J2247.7-5857,34.4416,0.0654561,6.1364e-13,-51.6635,328.277,3,0.0302311,19.753,1.94217,0.204112,-0.784381,unid,J2247.5-5856
4FGL J2247.8+4413,471.875,0.0195406,5.73441e-12,-13.2662,100.73,1,0.0116851,12.1264,1.70229,0.0387457,-0.229476,bll,J2247.9+4413
4FGL J2248.7-3235,674.133,0.0459339,7.35557e-12,-62.9384,13.8138,13,0.00913739,210.732,2.64283,0.0706203,-0.890518,fsrq,J2248.7-3235
4FGL J2248.7-4302,274.831,0.0274573,3.1424e-12,-61.1846,353.756,4,0.994465,12.0726,2.05709,0.0629247,-0.876177,bcu,J2250.4-4206
4FGL J2248.9+2107,3432.27,0.0157632,1.70347e-11,-33.3817,88.2553,37,0.00561863,2436.17,2.12951,0.194571,-0.550214,fsrq,J2248.9+2107
4FGL J2249.4+6222,129.575,0.0802667,1.71919e-11,2.76369,109.308,2,0.0198496,12.6504,3,-0.0099968,0.0482168,unid,J2249.5+6221
4FGL J2249.4-1300,70.8971,0.0392865,5.09367e-12,-58.1508,53.183,80,0.0331934,171.772,2.18864,0.03807,-0.84944,bll,J2249.2-1259
4FGL J2249.7-5944,131.926,0.0369622,2.06231e-12,-51.3207,327.027,1,0.0116514,18.1795,2.08675,0.0279091,-0.780656,bcu,J2249.7-5944
4FGL J2249.9+0452,56.5648,0.0552215,1.46372e-12,-46.5504,75.9057,4,0.0845813,19.7547,1.90828,0.0409116,-0.72598,bcu,J2250.0+0456
4FGL J2250.0-1250,32831.6,0.0111328,9.49015e-11,-58.2296,53.5706,92,0.00766864,9390.1,2.32974,0.0680083,-0.850165,bcu,J2250.0-1251
4FGL J2250.0+3825,689.743,0.0160766,7.3796e-12,-18.5623,98.2581,2,0.00369717,44.8143,1.78024,0.0242062,-0.318336,bll,J2250.0+3825
4FGL J2250.4-4206,274.831,0.0274573,3.1424e-12,-61.1846,353.756,4,0.0104897,41.0819,2.05709,0.0629247,-0.876177,bll,J2250.4-4206
4FGL J2250.4+1748,104.217,0.0730053,2.94999e-12,-36.3272,86.4194,74,0.0161886,25.2791,2.54947,0.285832,-0.592395,bll,J2250.5+1749
4FGL J2250.5+3305,373.412,0.0506845,3.83086e-12,-23.2953,95.6097,2,0.0140495,13.1827,2.29302,0.578889,-0.39547,unid,J2250.5+3305
4FGL J2250.6+5809,33.9714,0.107851,1.21627e-12,-1.06364,107.495,1,0.0376648,12.6358,1.76792,0.776436,-0.0185629,unid,J2250.3+5807
4FGL J2250.7-2806,3699.65,0.0176338,1.96133e-11,-63.3191,23.7531,44,0.000637274,879.455,2.17354,0.0719075,-0.893521,bll,J2250.7-2806
4FGL J2251.2+5550,28.1942,0.0724375,1.40668e-12,-3.17503,106.607,5,0.0346045,40.5465,2.25495,0.168084,-0.0553864,bcu,J2251.4+5550
4FGL J2251.5-4928,617.238,0.0240177,5.15907e-12,-57.9438,340.658,3,0.00246373,110.95,1.85804,0.081365,-0.847528,bll,J2251.5-4928
4FGL J2251.7-3208,91.2144,0.0452283,1.9664e-12,-63.6134,14.7398,7,0.00638972,12.751,1.98675,-0.0486222,-0.895815,bcu,J2251.8-3208
4FGL J2252.0+8149,32.1001,0.233609,1.35411e-12,20.0407,118.593,1,0.07367,16.4577,1.65819,0.402481,0.342688,bcu,J2250.6+8152
4FGL J2252.0+4031,1092.49,0.0189251,1.0211e-11,-16.8803,99.6346,13,0.00947443,33.5827,2.05986,0.0495166,-0.290374,bll,J2251.9+4031
4FGL J2252.6+1245,56.0518,0.0559595,1.45624e-12,-40.8036,83.272,29,0.00664443,11.9346,1.8453,0.0147913,-0.653468,bll,J2252.6+1244
4FGL J2252.6+5808,39.507,0.0984942,1.82471e-12,-1.18657,107.779,3,3.3025e-05,14.6031,2.22344,0.244168,-0.0207081,other,J2252.6+5808
4FGL J2253.2-1232,140.959,0.0861096,3.08653e-12,-58.7848,54.9385,56,0.061725,33.654,2.588,0.656495,-0.855227,bcu,J2253.4-1232
4FGL J2253.3+3233,65.5816,0.0407592,1.82784e-12,-24.0038,95.9076,4,0.0410076,21.1121,2.1604,0.00939246,-0.406797,bcu,J2253.3+3235
4FGL J2253.7+1405,105.535,0.0396646,2.20716e-12,-39.8883,84.5993,60,0.0306655,20.1544,2.10006,0.0698417,-0.641293,bll,J2253.9+1404
4FGL J2253.9+1609,580639,0.00839326,6.94383e-10,-38.1826,86.117,226,0.00252656,96038.1,2.1485,0.0787669,-0.61817,fsrq,J2253.9+1609
4FGL J2254.2+4305,73.7795,0.0777221,2.16081e-12,-14.8002,101.192,4,0.0488357,4.77904,2.38867,0.235304,-0.255449,bcu,J2254.0+4303
4FGL J2254.4+0108,55.3751,0.104918,2.48003e-12,-50.2082,73.0496,3,0.196102,14.8711,2.64758,-0.0259659,-0.768376,unid,J2254.2+0057
4FGL J2254.8-2725,229.733,0.0273978,3.62627e-12,-64.1441,25.5061,27,0.0127031,61.8808,1.97091,-0.000362009,-0.899893,bll,J2254.8-2725
4FGL J2254.9+5802,53.5091,0.0982558,2.42912e-12,-1.38495,108.095,1,0.0900849,15.3851,2.37716,0.252807,-0.0241696,other,J2255.5+5806
4FGL J2255.2+2411,1090.9,0.01975,8.27775e-12,-31.5323,91.6307,5,0.000935409,46.3208,1.91128,0.114715,-0.52298,bll,J2255.2+2411
4FGL J2255.8-6543,39.7529,0.239465,1.76713e-12,-47.3263,319.906,2,0.0844731,9.3493,2.88555,0.043628,-0.735225,fsrq,J2255.9-6548
4FGL J2256.0-2740,611.819,0.0521624,1.13505e-11,-64.4047,25.1002,38,0.0679687,95.4333,2.84092,0.0632715,-0.901868,fsrq,J2255.9-2737
4FGL J2256.3-3303,211.364,0.0428913,3.1886e-12,-64.4929,12.4562,3,2.64272e-05,51.7311,2.15779,0.010853,-0.902532,bll,J2256.3-3303
4FGL J2256.4-7119,74.5384,0.039316,1.09638e-12,-42.9727,315.088,1,0.0151134,18.7562,1.48179,0.401935,-0.68165,bcu,J2256.3-7120
4FGL J2256.4+5829,29.6814,0.0552839,1.29772e-12,-1.08707,108.372,4,2.63483e-05,11.035,1.85456,0.161038,-0.0189718,other,J2256.4+5829
4FGL J2256.5+6212,70.6447,0.113901,3.61115e-12,2.18896,109.944,1,0.0812274,8.59618,2.44185,0.583089,0.0381953,unid,J2256.5+6207
4FGL J2256.6-2011,750.409,0.0247951,7.35727e-12,-62.8918,41.5068,2,0.0114834,53.4315,2.13825,0.0136895,-0.890148,bll,J2256.6-2012
4FGL J2256.7+1307,60.4792,0.0531277,1.16554e-12,-41.0623,84.5552,10,0.0496955,15.5019,1.76167,0.224388,-0.656879,bll,J2256.5+1305
4FGL J2256.8-1024,1174.63,0.0280957,7.75051e-12,-58.2853,59.2455,15,0.019248,22.4442,1.28927,0.228804,-0.850676,psr,J2256.9-1023
4FGL J2257.5+0748,138.315,0.0609363,3.64411e-12,-45.5472,80.5189,7,0.0617319,116.842,2.44904,-0.0282144,-0.713828,bll,J2257.5+0744
4FGL J2257.9+7807,38.832,0.221759,1.74206e-12,17.3136,115.845,2,1.39505,12.2062,1.79008,0.335924,0.297601,unid,J2230.7+7812
4FGL J2258.1-2759,11346.5,0.0156926,4.10977e-11,-64.9194,24.3724,48,0.00764842,1482.91,2.45572,0.137842,-0.905712,fsrq,J2258.0-2758
4FGL J2258.3-3643,186.803,0.0369203,2.18159e-12,-64.2582,3.94373,1,0.0100118,19.0763,1.92386,0.128829,-0.900761,bll,J2258.2-3643
4FGL J2258.4-5524,423.287,0.0339485,5.90907e-12,-55.104,330.983,1,0.0241192,9.48613,2.76584,-0.100039,-0.820192,bll,J2258.2-5525
4FGL J2258.5-8247,177.759,0.0345991,2.87403e-12,-33.4257,307.007,3,0.0051049,40.9871,2.03515,0.162035,-0.550855,bcu,J2258.6-8247
